SEZ2011,MURATURA PORTANTE,CALCESTRUZZO ARMATO,"MATERIALE (LEGNO, ACCIAIO�)",PRIMA 1919,1919-1945,1946-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2005,DOPO 2005,EDIFICI RES. STATO OTTIMO,EDIFICI RES. STATO BUONO,EDIFICI RES. STATO MEDIOCRE,EDIFICI RES. STATO PESSIMO
151460001484.0000000,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
151460001485.0000000,3,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0
151460001486.0000000,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
151460001487.0000000,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
151460001488.0000000,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0
151460001489.0000000,2,0,1,1,1,1,0,0,0,0,0,0,0,3,0,0
151460001490.0000000,9,2,1,7,2,3,0,0,0,0,0,0,10,2,0,0
151460001491.0000000,7,0,1,1,6,1,0,0,0,0,0,0,0,4,3,1
151460001492.0000000,7,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4
151460001493.0000000,7,0,0,6,0,1,0,0,0,0,0,0,6,1,0,0
151460001494.0000000,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
151460001495.0000000,1,0,5,0,1,3,2,0,0,0,0,0,0,4,2,0
151460001496.0000000,2,0,2,0,2,2,0,0,0,0,0,0,1,2,1,0
151460001497.0000000,1,0,6,0,5,1,1,0,0,0,0,0,0,2,5,0
151460001498.0000000,2,0,5,0,5,2,0,0,0,0,0,0,3,1,3,0
151460001499.0000000,3,0,10,0,8,5,0,0,0,0,0,0,7,1,5,0
151460001500.0000000,0,0,10,0,6,3,0,1,0,0,0,0,3,3,4,0
151460001501.0000000,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0
151460001502.0000000,0,0,5,0,4,1,0,0,0,0,0,0,2,2,1,0
151460001503.0000000,0,0,9,0,9,0,0,0,0,0,0,0,2,5,2,0
151460001504.0000000,1,0,6,0,5,2,0,0,0,0,0,0,2,3,2,0
151460001505.0000000,0,1,9,0,2,8,0,0,0,0,0,0,0,8,2,0
151460001506.0000000,11,0,0,4,6,1,0,0,0,0,0,0,5,6,0,0
151460001507.0000000,7,2,1,3,5,2,0,0,0,0,0,0,5,5,0,0
151460001508.0000000,7,2,0,7,0,2,0,0,0,0,0,0,3,5,1,0
151460001509.0000000,5,1,0,2,3,1,0,0,0,0,0,0,3,2,1,0
151460001510.0000000,8,1,0,4,2,2,1,0,0,0,0,0,4,5,0,0
151460001511.0000000,5,2,0,0,5,2,0,0,0,0,0,0,1,4,2,0
151460001512.0000000,6,0,0,3,3,0,0,0,0,0,0,0,2,4,0,0
151460001513.0000000,10,4,0,4,6,3,1,0,0,0,0,0,5,7,2,0
151460001514.0000000,6,6,0,0,3,4,5,0,0,0,0,0,4,8,0,0
151460001515.0000000,2,8,1,1,1,5,4,0,0,0,0,0,10,1,0,0
151460001516.0000000,28,0,1,0,27,0,0,0,2,0,0,0,14,14,1,0
151460001517.0000000,11,1,0,5,6,0,1,0,0,0,0,0,8,3,1,0
151460001518.0000000,7,0,0,6,1,0,0,0,0,0,0,0,5,2,0,0
151460001519.0000000,3,0,12,1,11,3,0,0,0,0,0,0,6,5,4,0
151460001520.0000000,0,0,9,0,5,4,0,0,0,0,0,0,2,5,2,0
151460001521.0000000,3,5,1,0,3,0,6,0,0,0,0,0,9,0,0,0
151460001522.0000000,6,3,0,0,6,0,3,0,0,0,0,0,9,0,0,0
151460001523.0000000,4,0,2,1,3,2,0,0,0,0,0,0,6,0,0,0
151460001524.0000000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
151460001525.0000000,12,2,1,9,3,1,1,0,0,0,1,0,15,0,0,0
151460001526.0000000,11,4,1,6,4,2,4,0,0,0,0,0,15,1,0,0
151460001527.0000000,9,0,0,1,8,0,0,0,0,0,0,0,8,1,0,0
151460001528.0000000,4,1,2,1,3,0,3,0,0,0,0,0,7,0,0,0
151460001529.0000000,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0
151460001530.0000000,9,0,0,2,4,3,0,0,0,0,0,0,8,0,1,0
151460001531.0000000,8,0,0,2,5,1,0,0,0,0,0,0,6,2,0,0
151460001532.0000000,8,0,0,0,7,1,0,0,0,0,0,0,7,1,0,0
151460001533.0000000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
151460001534.0000000,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
151460001535.0000000,5,5,0,0,4,5,1,0,0,0,0,0,9,1,0,0
151460001536.0000000,7,1,0,0,7,0,1,0,0,0,0,0,8,0,0,0
151460001537.0000000,3,1,0,0,3,0,1,0,0,0,0,0,4,0,0,0
151460001538.0000000,5,1,0,1,4,1,0,0,0,0,0,0,6,0,0,0
151460001539.0000000,5,1,0,1,4,0,1,0,0,0,0,0,6,0,0,0
151460001540.0000000,3,4,3,2,3,0,0,5,0,0,0,0,10,0,0,0
151460001541.0000000,1,4,3,0,0,8,0,0,0,0,0,0,8,0,0,0
151460001542.0000000,3,2,0,3,1,0,1,0,0,0,0,0,5,0,0,0
151460001543.0000000,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
151460001544.0000000,1,2,1,0,0,1,3,0,0,0,0,0,3,1,0,0
151460001545.0000000,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0
151460001546.0000000,9,0,0,9,0,0,0,0,0,0,0,0,6,3,0,0
151460001547.0000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151460001548.0000000,4,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0
151460001549.0000000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
151460001550.0000000,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0
151460001551.0000000,2,3,0,2,0,0,3,0,0,0,0,0,3,2,0,0
151460001552.0000000,7,0,0,1,5,1,0,0,0,0,0,0,7,0,0,0
151460001553.0000000,12,9,2,7,4,5,0,2,0,0,3,2,17,6,0,0
151460001554.0000000,12,6,1,8,4,2,4,0,0,0,1,0,12,7,0,0
151460001555.0000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151460001556.0000000,10,7,0,5,5,1,5,1,0,0,0,0,16,1,0,0
151460001557.0000000,17,2,0,0,17,0,2,0,0,0,0,0,18,1,0,0
151460001558.0000000,28,0,0,28,0,0,0,0,0,0,0,0,23,5,0,0
151460001559.0000000,16,7,0,11,5,2,1,3,1,0,0,0,17,5,1,0
151460001560.0000000,13,4,0,3,9,4,1,0,0,0,0,0,0,15,2,0
151460001561.0000000,22,0,0,4,15,3,0,0,0,0,0,0,0,20,2,0
151460001562.0000000,34,0,0,1,32,1,0,0,0,0,0,0,1,33,0,0
151460001563.0000000,33,1,0,1,31,1,1,0,0,0,0,0,0,33,1,0
151460001564.0000000,24,0,1,1,24,0,0,0,0,0,0,0,0,24,1,0
151460001565.0000000,37,0,0,0,36,1,0,0,0,0,0,0,1,36,0,0
151460001566.0000000,23,2,0,3,18,4,0,0,0,0,0,0,1,24,0,0
151460001567.0000000,18,1,0,1,17,0,1,0,0,0,0,0,0,18,1,0
151460001568.0000000,3,3,0,0,4,2,0,0,0,0,0,0,2,3,1,0
151460001569.0000000,9,6,1,0,10,6,0,0,0,0,0,0,1,15,0,0
151460001570.0000000,7,7,1,2,5,7,1,0,0,0,0,0,0,14,1,0
151460001571.0000000,12,2,0,4,8,0,2,0,0,0,0,0,0,10,4,0
151460001572.0000000,6,4,0,4,2,1,2,0,0,0,0,1,5,5,0,0
151460001573.0000000,6,5,1,5,2,0,5,0,0,0,0,0,8,4,0,0
151460001574.0000000,8,3,0,4,4,2,1,0,0,0,0,0,6,5,0,0
151460001575.0000000,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0
151460001576.0000000,5,4,0,0,3,2,4,0,0,0,0,0,0,9,0,0
151460001577.0000000,19,0,2,0,19,2,0,0,0,0,0,0,0,19,2,0
151460001578.0000000,24,0,0,0,24,0,0,0,0,0,0,0,0,23,1,0
151460001579.0000000,14,0,0,2,12,0,0,0,0,0,0,0,0,14,0,0
151460001580.0000000,13,3,2,1,11,1,2,3,0,0,0,0,0,15,3,0
151460001581.0000000,29,0,1,28,0,1,0,0,0,1,0,0,25,5,0,0
151460001582.0000000,9,0,5,0,9,4,1,0,0,0,0,0,0,12,2,0
151460001583.0000000,9,0,3,0,9,3,0,0,0,0,0,0,0,12,0,0
151460001584.0000000,4,0,5,0,4,4,0,0,0,0,0,1,1,6,2,0
151460001585.0000000,3,1,8,0,1,8,1,1,0,0,0,1,3,9,0,0
151460001586.0000000,7,1,7,1,6,7,1,0,0,0,0,0,1,14,0,0
151460001587.0000000,0,0,9,0,0,9,0,0,0,0,0,0,0,9,0,0
151460001588.0000000,2,0,6,0,2,6,0,0,0,0,0,0,0,7,1,0
151460001589.0000000,3,0,4,0,4,0,3,0,0,0,0,0,1,6,0,0
151460001590.0000000,7,0,4,1,3,6,1,0,0,0,0,0,4,6,1,0
151460001591.0000000,4,0,5,0,4,3,0,0,0,2,0,0,1,8,0,0
151460001592.0000000,0,1,8,0,9,0,0,0,0,0,0,0,0,8,1,0
151460001593.0000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151460001594.0000000,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0
151460001595.0000000,0,3,0,0,0,1,2,0,0,0,0,0,0,3,0,0
151460001596.0000000,5,0,6,0,5,5,1,0,0,0,0,0,0,10,0,1
151460001597.0000000,10,3,0,0,2,9,2,0,0,0,0,0,13,0,0,0
151460001598.0000000,0,7,0,0,0,5,1,0,0,0,1,0,7,0,0,0
151460001599.0000000,6,4,1,2,1,2,2,2,2,0,0,0,0,10,1,0
151460001600.0000000,13,1,0,0,1,2,10,0,0,1,0,0,14,0,0,0
151460001601.0000000,19,7,0,3,13,5,3,0,0,2,0,0,24,2,0,0
151460001602.0000000,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
151460001603.0000000,16,3,2,13,3,0,0,1,0,1,0,3,21,0,0,0
151460001604.0000000,4,0,5,2,2,4,0,1,0,0,0,0,0,8,1,0
151460001605.0000000,6,0,1,0,6,1,0,0,0,0,0,0,0,7,0,0
151460001606.0000000,3,0,4,0,3,3,1,0,0,0,0,0,0,7,0,0
151460001607.0000000,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
151460001608.0000000,13,8,0,0,11,3,6,1,0,0,0,0,21,0,0,0
151460001609.0000000,10,0,3,0,9,3,1,0,0,0,0,0,0,13,0,0
151460001610.0000000,0,2,5,0,2,5,0,0,0,0,0,0,3,4,0,0
151460001611.0000000,0,2,13,0,9,6,0,0,0,0,0,0,2,11,2,0
151460001612.0000000,0,4,2,0,3,3,0,0,0,0,0,0,0,5,1,0
151460001613.0000000,3,1,3,0,2,5,0,0,0,0,0,0,3,3,1,0
151460001614.0000000,3,2,9,1,6,7,0,0,0,0,0,0,5,4,5,0
151460001615.0000000,1,2,9,1,0,11,0,0,0,0,0,0,1,11,0,0
151460001616.0000000,1,1,12,0,1,13,0,0,0,0,0,0,3,9,2,0
151460001617.0000000,0,5,7,0,0,12,0,0,0,0,0,0,1,6,5,0
151460001618.0000000,0,3,15,0,2,16,0,0,0,0,0,0,7,7,4,0
151460001619.0000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151460001620.0000000,0,0,7,0,0,6,1,0,0,0,0,0,0,5,2,0
151460001621.0000000,0,0,9,0,4,0,5,0,0,0,0,0,1,5,3,0
151460001622.0000000,3,0,8,0,3,3,4,0,0,0,0,1,1,8,2,0
151460001623.0000000,4,0,1,0,4,1,0,0,0,0,0,0,0,1,4,0
151460001624.0000000,0,0,7,0,1,3,3,0,0,0,0,0,1,6,0,0
151460001625.0000000,1,0,5,0,0,1,5,0,0,0,0,0,1,5,0,0
151460001626.0000000,0,0,9,0,0,0,4,5,0,0,0,0,1,8,0,0
151460001627.0000000,3,0,8,1,2,4,4,0,0,0,0,0,6,4,1,0
151460001628.0000000,5,0,0,0,4,1,0,0,0,0,0,0,1,0,4,0
151460001629.0000000,8,0,0,0,8,0,0,0,0,0,0,0,7,1,0,0
151460001630.0000000,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
151460001631.0000000,9,5,0,0,8,3,3,0,0,0,0,0,8,6,0,0
151460001632.0000000,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
151460001633.0000000,6,0,0,0,6,0,0,0,0,0,0,0,2,4,0,0
151460001634.0000000,4,0,0,0,4,0,0,0,0,0,0,0,3,1,0,0
151460001635.0000000,2,5,0,0,2,0,4,0,1,0,0,0,5,2,0,0
151460001636.0000000,1,2,0,0,1,0,2,0,0,0,0,0,3,0,0,0
151460001637.0000000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
151460001638.0000000,3,7,0,0,0,7,3,0,0,0,0,0,6,4,0,0
151460001639.0000000,17,0,0,0,16,0,0,0,0,0,0,1,5,10,2,0
151460001640.0000000,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
151460001641.0000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151460001642.0000000,4,1,0,0,3,2,0,0,0,0,0,0,4,1,0,0
151460001643.0000000,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
151460001644.0000000,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
151460001645.0000000,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
151460001646.0000000,3,4,0,0,2,5,0,0,0,0,0,0,5,2,0,0
151460001647.0000000,7,0,0,0,6,1,0,0,0,0,0,0,0,1,6,0
151460001648.0000000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
151460001649.0000000,5,2,0,0,5,0,2,0,0,0,0,0,5,2,0,0
151460001650.0000000,44,1,0,2,40,1,0,0,2,0,0,0,28,17,0,0
151460001651.0000000,14,9,0,0,14,0,9,0,0,0,0,0,23,0,0,0
151460001652.0000000,9,3,0,8,1,3,0,0,0,0,0,0,9,3,0,0
151460001653.0000000,9,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0
151460001654.0000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151460001655.0000000,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0
151460001656.0000000,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0
151460001657.0000000,41,0,0,0,41,0,0,0,0,0,0,0,41,0,0,0
151460001658.0000000,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
151460001659.0000000,0,9,0,0,0,0,8,0,1,0,0,0,9,0,0,0
151460001660.0000000,5,11,3,0,4,5,9,1,0,0,0,0,19,0,0,0
151460001661.0000000,1,2,0,0,1,0,2,0,0,0,0,0,3,0,0,0
151460001662.0000000,4,4,0,2,1,1,4,0,0,0,0,0,8,0,0,0
151460001663.0000000,7,5,1,6,3,2,2,0,0,0,0,0,13,0,0,0
151460001664.0000000,4,4,0,1,5,1,0,0,0,0,1,0,7,1,0,0
151460001665.0000000,5,2,0,1,3,1,2,0,0,0,0,0,7,0,0,0
151460001666.0000000,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
151460001667.0000000,5,5,3,2,4,4,3,0,0,0,0,0,13,0,0,0
151460001668.0000000,3,1,0,0,3,1,0,0,0,0,0,0,4,0,0,0
151460001669.0000000,3,4,5,0,6,6,0,0,0,0,0,0,12,0,0,0
151460001670.0000000,7,2,1,5,2,1,2,0,0,0,0,0,10,0,0,0
151460001671.0000000,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0
151460001672.0000000,1,9,6,0,0,13,2,0,0,0,1,0,16,0,0,0
151460001673.0000000,32,0,0,28,4,0,0,0,0,0,0,0,31,1,0,0
151460001674.0000000,4,8,0,4,3,5,0,0,0,0,0,0,12,0,0,0
151460001675.0000000,4,1,0,4,0,0,0,0,0,0,1,0,5,0,0,0
151460001676.0000000,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0
151460001677.0000000,0,7,0,0,0,1,6,0,0,0,0,0,7,0,0,0
151460001678.0000000,0,13,0,0,0,1,12,0,0,0,0,0,8,5,0,0
151460001679.0000000,1,13,1,1,1,0,13,0,0,0,0,0,12,3,0,0
151460001680.0000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151460001681.0000000,1,4,0,0,0,1,4,0,0,0,0,0,5,0,0,0
