SEZ2011,P1,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,0-5anni,6-19 anni,20-64 anni,over 65 anni,OBJECTID,PRO_COM,SEZ,TIPO_LOC,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis,geometry,P1divSHAPE
151460000022.00000000,350,17,19,13,19,9,18,25,25,27,31,39,19,21,16,24,28,4.85714285714286,14.5714285714286,61.1428571428572,19.4285714285714,51563,15146,22,1,56344.54870900000,958.96393281100,370.00000000000,1.00000000000,38,10.4400000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.178549,45.467188 9.179132,45.467008 9.179807,45.466865 9.179751,45.466718 9.181655,45.466105 9.180991,45.465327 9.180722,45.46499 9.179415,45.465053 9.178957,45.465064 9.178458,45.465112 9.177662,45.465334 9.177507,45.4654 9.177257,45.465661 9.17715,45.46582 9.177231,45.465939 9.177813,45.46676 9.178194,45.467317 9.178549,45.467188</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.6211781051040595
151460000023.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51564,15146,23,1,1070.95894142000,150.61271245300,0.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.181972,45.462256 9.181285,45.462103 9.181214,45.462265 9.181898,45.46242 9.181972,45.462256</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000024.00000000,116,9,7,5,8,5,1,4,7,13,5,4,9,5,9,12,13,7.75862068965517,17.2413793103448,45.6896551724138,29.3103448275862,51565,15146,24,1,6085.18668092000,399.88220524500,131.00000000000,1.00000000000,5,4.3100000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.176916,45.466716 9.17738,45.466529 9.176524,45.465303 9.176046,45.465325 9.176578,45.466162 9.176916,45.466716</coordinates></LinearRing></outerBoundaryIs></Polygon>",1.9062685515255602
151460000025.00000000,100,5,6,8,7,3,6,6,12,6,8,6,2,10,2,6,7,5,21,59,15,51566,15146,25,1,8099.68588056000,397.26074952800,92.00000000000,10.00000000000,16,16.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.175304,45.467146 9.176657,45.467195 9.177102,45.467019 9.176916,45.466716 9.176578,45.466162 9.175304,45.467146</coordinates></LinearRing></outerBoundaryIs></Polygon>",1.2346157798539978
151460000026.00000000,10,0,0,0,1,0,0,0,0,1,0,3,2,1,0,0,2,0,10,70,20,51567,15146,26,1,42796.47092150000,1315.39079094000,10.00000000000,10.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.173141,45.471028 9.174022,45.470447 9.174519,45.470307 9.175086,45.469649 9.175732,45.469137 9.176408,45.468652 9.17707,45.468163 9.177584,45.467772 9.178194,45.467317 9.177813,45.46676 9.177102,45.467019 9.176657,45.467195 9.176382,45.467768 9.172559,45.470648 9.173141,45.471028</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.02336641266132115
151460000027.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51568,15146,27,1,7602.71643361000,352.46608362700,0.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.176704,45.469761 9.177342,45.46925 9.176408,45.468652 9.175732,45.469137 9.176704,45.469761</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000028.00000000,110,6,9,3,6,3,7,7,9,5,7,9,7,10,5,8,9,5.45454545454545,16.3636363636364,58.1818181818182,20,51569,15146,28,1,13078.07788380000,463.53632021200,115.00000000000,1.00000000000,14,12.5000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.176408,45.468652 9.177342,45.46925 9.178497,45.468369 9.177584,45.467772 9.17707,45.468163 9.176408,45.468652</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.8411021938954696
151460000029.00000000,163,7,16,10,7,4,1,8,14,16,22,11,6,9,7,6,19,4.29447852760736,20.2453987730061,55.8282208588957,19.6319018404908,51570,15146,29,1,18169.86330870000,548.82390645800,170.00000000000,1.00000000000,29,17.4700000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.178194,45.467317 9.177584,45.467772 9.178497,45.468369 9.178896,45.468193 9.179389,45.468008 9.179968,45.467934 9.179807,45.466865 9.179132,45.467008 9.178549,45.467188 9.178194,45.467317</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.8970898527450846
151460000030.00000000,112,1,0,6,10,3,8,3,4,13,14,8,7,5,13,7,10,0.892857142857143,14.2857142857143,58.0357142857143,26.7857142857143,51571,15146,30,1,21960.47299880000,617.82689904000,140.00000000000,1.00000000000,11,9.3200000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.179968,45.467934 9.180701,45.468002 9.181166,45.468116 9.181595,45.468361 9.182463,45.467657 9.182143,45.467478 9.182298,45.467381 9.182015,45.46726 9.181659,45.467113 9.181348,45.46703 9.180965,45.466941 9.180609,45.466883 9.180262,45.466845 9.179807,45.466865 9.179968,45.467934</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.5100072298357148
151460000031.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51572,15146,31,1,10272.77011760000,457.91022828800,0.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.179751,45.466718 9.179807,45.466865 9.180262,45.466845 9.180609,45.466883 9.180965,45.466941 9.181348,45.46703 9.181659,45.467113 9.182055,45.466574 9.181655,45.466105 9.179751,45.466718</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
