OBJECTID,PRO_COM,SEZ,TIPO_LOC,SEZ2011,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis
51576,15146,35,1,151460000035,7114.04190488,345.715242099,0,1,0,0
51584,15146,44,1,151460000044,5804.28644688,341.521219252,0,1,0,0
51587,15146,47,1,151460000047,14080.506299,607.984578072,30,1,1,5.26
51595,15146,55,1,151460000055,13755.6821111,551.644891653,32,1,2,11.76
51598,15146,59,1,151460000059,5743.54206024,331.112337787,0,1,0,0
51605,15146,66,1,151460000066,12379.5979735,447.672250742,74,1,18,22.5
51608,15146,69,1,151460000069,4669.88631252,317.518627333,18,1,0,0
51611,15146,72,1,151460000072,3328.93194676,239.183982526,12,1,0,0
51618,15146,79,1,151460000079,4907.91133346,284.367300121,1,1,0,0
51620,15146,81,1,151460000081,21547.6104535,671.352444451,123,1,16,16.33
51685,15146,147,1,151460000147,8874.541614,735.646081727,86,1,14,14.89
51690,15146,177,1,151460000177,7053.94315528,377.598768601,135,1,8,5.48
51696,15146,184,1,151460000184,14978.3641954,603.037363633,2,1,0,0
51698,15146,186,1,151460000186,9142.07293636,379.31399737,0,1,0,0
51700,15146,188,1,151460000188,9596.2980114,405.143048086,15,1,2,14.29
51711,15146,199,1,151460000199,2320.65284036,205.614101878,65,1,8,16.67
51713,15146,201,1,151460000201,15970.7410708,531.503408747,259,1,14,6.17
51721,15146,209,1,151460000209,16561.7583251,664.433257773,199,1,21,11.05
51733,15146,222,1,151460000222,4282.71338996,260.307056186,87,1,11,11.96
51734,15146,223,1,151460000223,4563.79147922,287.312521655,26,1,2,7.41
51737,15146,276,1,151460000276,3904.26429609,306.414783207,93,1,4,5.48
51738,15146,277,1,151460000277,12311.9204188,656.334878897,130,1,9,7.5
49000,15146,225,1,151460000225,17094.435403,612.962959836,254,1,13,5.33
49009,15146,235,1,151460000235,7126.04538018,361.21757215,117,1,8,7.92
49249,15146,159,1,151460000159,7874.04954908,698.094040026,68,1,6,9.68
49262,15146,173,1,151460000173,19469.150992,604.194332971,155,1,16,12.6
50659,15146,253,1,151460000253,10580.3841363,530.816776857,55,1,6,10.17
