SEZ2011,P1,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,0-5anni,6-19 anni,20-64 anni,over 65 anni
151460000047,19,0,0,1,1,0,1,0,1,1,1,1,1,1,2,1,7,0,10.5263157894737,36.8421052631579,52.6315789473684
151460000048,21,2,0,1,0,0,1,0,1,2,0,1,2,5,1,1,4,9.52380952380952,4.76190476190476,57.1428571428571,28.5714285714286
151460000049,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0
151460000050,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,20,80
151460000051,18,0,0,0,2,3,0,0,1,0,3,3,2,0,2,2,0,0,11.1111111111111,66.6666666666667,22.2222222222222
151460000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000054,16,0,1,2,1,0,0,0,1,3,4,3,0,0,0,0,1,0,25,68.75,6.25
151460000055,15,0,0,0,1,1,2,1,1,1,1,1,3,0,1,0,2,0,6.66666666666667,73.3333333333333,20
151460000056,6,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,16.6666666666667,0,66.6666666666667,16.6666666666667
151460000057,42,0,0,0,1,5,2,4,4,2,0,5,2,3,5,3,6,0,2.38095238095238,64.2857142857143,33.3333333333333
151460000058,33,0,1,0,3,1,0,1,0,2,1,7,3,4,6,1,3,0,12.1212121212121,57.5757575757576,30.3030303030303
151460000059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
151460000060,11,0,0,2,0,2,1,0,0,2,0,2,1,1,0,0,0,0,18.1818181818182,81.8181818181818,0
151460000061,91,3,6,1,1,2,5,4,6,4,8,6,9,6,9,4,17,3.2967032967033,8.79120879120879,54.9450549450549,32.967032967033
151460000062,153,2,3,8,8,10,4,7,6,10,16,21,9,9,10,7,23,1.30718954248366,12.4183006535948,60.1307189542484,26.1437908496732
151460000063,93,2,2,3,3,5,4,2,5,9,14,9,8,4,9,7,7,2.1505376344086,8.60215053763441,64.5161290322581,24.7311827956989
151460000064,9,0,0,0,0,0,2,1,0,0,1,0,1,0,1,2,1,0,0,55.5555555555556,44.4444444444444
151460000065,57,0,0,2,2,1,1,7,6,2,6,2,3,6,6,6,7,0,7.01754385964912,59.6491228070175,33.3333333333333
151460000066,79,1,4,2,7,6,1,2,6,5,8,9,7,6,0,9,6,1.26582278481013,16.4556962025316,63.2911392405063,18.9873417721519
151460000067,21,0,1,1,0,0,0,0,0,2,0,1,0,4,3,3,6,0,9.52380952380952,33.3333333333333,57.1428571428571
151460000068,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0
151460000069,15,1,0,0,0,0,0,0,2,2,2,0,0,1,1,3,3,6.66666666666667,0,46.6666666666667,46.6666666666667
151460000070,45,3,3,1,5,3,2,4,2,4,4,6,3,0,3,0,2,6.66666666666667,20,62.2222222222222,11.1111111111111
151460000071,21,5,0,0,0,2,0,2,0,1,1,5,4,1,0,0,0,23.8095238095238,0,76.1904761904762,0
151460000072,8,0,0,0,0,1,0,0,0,2,0,0,2,0,3,0,0,0,0,62.5,37.5
151460000073,114,5,3,1,4,2,1,5,5,14,6,5,11,9,12,10,21,4.3859649122807,7.01754385964912,50.8771929824562,37.719298245614
151460000074,133,4,10,5,9,9,7,3,11,11,15,7,16,9,4,4,9,3.00751879699248,18.0451127819549,66.1654135338346,12.781954887218
151460000075,55,4,2,3,0,1,5,2,5,5,4,0,3,7,6,4,4,7.27272727272727,9.09090909090909,58.1818181818182,25.4545454545455
151460000076,9,1,1,1,0,0,0,2,0,2,0,0,0,1,1,0,0,11.1111111111111,22.2222222222222,55.5555555555556,11.1111111111111
151460000077,123,7,5,2,5,6,7,8,7,9,12,15,5,11,8,6,10,5.69105691056911,9.75609756097561,65.0406504065041,19.5121951219512
